article_id,author,category,number_of_comments,timestamp,title,article_link
483547,هسبريس ـ محمد لديب (كاريكاتير: مبارك بوعلي),societe,12,الجمعة 11 شتنبر 2020 - 12:50,"كورونا يحرم تلاميذ القرى من ""داخليات الثانويات""",https://www.hespress.com/societe/483547.html
481072,هسبريس من الرباط,politique,32,السبت 15 غشت 2020 - 07:17,"الجدل يرافق تعيينات في ""هيئة ضبط الكهرباء""",https://www.hespress.com/politique/481072.html
483735,هسبريس - محمد الراجي,societe,80,الجمعة 11 شتنبر 2020 - 11:00,مدارس خصوصية ترفض تنفيذ أحكام تسليم شهادات مغادرة التلاميذ,https://www.hespress.com/societe/483735.html
481164,هسبريس - عبد الرحيم العسري,politique,37,السبت 15 غشت 2020 - 08:00,"""الداخلية"" تلتقي الأحزاب لبسط تصوراتٍ بشأن ""المذكرات الانتخابية""",https://www.hespress.com/politique/481164.html
481334,هسبريس من الرباط (كاريكاتير: مبارك بوعلي),politique,49,الاثنين 17 غشت 2020 - 01:10,"الغلوسي: تعويضات ""الريع السياسي"" تستنزف المال العام في المغرب",https://www.hespress.com/politique/481334.html
481259,هسبريس من الرباط,politique,17,الاثنين 17 غشت 2020 - 06:07,"""تعيينات ضبط الكهرباء"" تقسم الأغلبية البرلمانية",https://www.hespress.com/politique/481259.html
481377,هسبريس - محمد الراجي ,politique,75,الأحد 16 غشت 2020 - 23:00,بركة يتهم الحكومة بسوء تدبير الجائحة وخفض الثقة لدى المغاربة,https://www.hespress.com/politique/481377.html
481447,هسبريس من الرباط,politique,50,الثلاثاء 18 غشت 2020 - 10:00,"هل تستجيب ""الداخلية"" لمرافعات الأحزاب لتعديل القوانين الانتخابية؟",https://www.hespress.com/politique/481447.html
481530,هسبريس - أمال كنين,politique,12,الأربعاء 19 غشت 2020 - 03:43,أحزاب تنتقد تعيينات الهيئة الوطنية لضبط الكهرباء,https://www.hespress.com/politique/481530.html
481504,هسبريس من الرباط,politique,55,الثلاثاء 18 غشت 2020 - 23:00,"شيوخ الأحزاب يضغطون لضمان ""كوطا"" ضمن لائحة وطنية للكفاءات",https://www.hespress.com/politique/481504.html
481547,هسبريس من الرباط,politique,27,الثلاثاء 18 غشت 2020 - 20:00,المغرب يتمسك باستقرار مالي ويدعو الأطراف المتناحرة إلى الحوار,https://www.hespress.com/politique/481547.html
481552,هسبريس من الرباط,politique,47,الأربعاء 19 غشت 2020 - 12:00,"""كائنات انتخابية"" تشعل الصراع بين الأحزاب قبل استحقاقات 2021",https://www.hespress.com/politique/481552.html
481407,هسبريس من الرباط,politique,221,الاثنين 17 غشت 2020 - 17:00,"مستشارون يقترحون زيادة ""أعضاء النواب"" و""كوطا مغاربة العالم""",https://www.hespress.com/politique/481407.html
481584,هسبريس من الرباط,politique,37,الأربعاء 19 غشت 2020 - 13:00,"الجائحة والتغطية الاجتماعية تؤطران ""آخر مالية"" لحكومة العثماني",https://www.hespress.com/politique/481584.html
481617,هسبريس من الرباط,politique,25,الأربعاء 19 غشت 2020 - 17:00,"المغرب يدعو إلى ""انتقال مدني سلمي"" واستعادة الاستقرار في مالي",https://www.hespress.com/politique/481617.html
481654,هسبريس من الرباط,politique,3,الأربعاء 19 غشت 2020 - 23:15,قادة دولة الإمارات يهنئون الملك بالسنة الهجرية,https://www.hespress.com/politique/481654.html
481607,هسبريس - مصطفى شاكري,politique,9,الخميس 20 غشت 2020 - 00:20,الدبلوماسية المغربية بمالي .. روابط دينية بنفحة سياسية واقتصادية,https://www.hespress.com/politique/481607.html
481710,هسبريس - وائل بورشاشن,politique,25,الخميس 20 غشت 2020 - 21:15,"حزب ""النّهج الديمقراطي"" يتذكّر خمسينيّة ""إلى الأمام""",https://www.hespress.com/politique/481710.html
481615,هسبريس - عبد السلام الشامخ,politique,32,الخميس 20 غشت 2020 - 09:00,الانقلابُ يحتّم على المغرب إعادة ترتيب أوراقه الدبلوماسية في مالي,https://www.hespress.com/politique/481615.html
481728,هسبريس من الرباط,art-et-culture,4,السبت 22 غشت 2020 - 05:55,الشاب قادر يعود بأغانٍ جديدة في شتنبر المقبل‎,https://www.hespress.com/art-et-culture/481728.html
481692,هسبريس من الرباط,politique,145,الجمعة 21 غشت 2020 - 10:00,"هل يعيد ""العدالة والتنمية"" سيناريو 2007 في انتخابات 2021؟",https://www.hespress.com/politique/481692.html
481871,رشيد بيجيكن من أكادير,art-et-culture,43,السبت 22 غشت 2020 - 13:15,"""كوفيد-19"" يُنهي حياة الفنان أحمد بادوج في أكادير",https://www.hespress.com/art-et-culture/481871.html
481670,هسبريس - أمال كنين,politique,69,الجمعة 21 غشت 2020 - 10:14,"برلمانيون يتخوفون من تجارب لقاح ""كورونا"" بالمغرب",https://www.hespress.com/politique/481670.html
481872,المصطفى الناصري من بيروت,art-et-culture,19,السبت 22 غشت 2020 - 18:00,فنانون لبنانيون يشيدون بالتفاتة الملك محمد السادس,https://www.hespress.com/art-et-culture/481872.html
481772,محمود الغيطاني*,art-et-culture,13,الأحد 23 غشت 2020 - 02:35,"""هوت ماروك"" لياسين عدنان .. فيضان سردي و""صناعة الرأي العام""",https://www.hespress.com/art-et-culture/481772.html
481893,هسبريس - وائل بورشاشن,art-et-culture,45,الأحد 23 غشت 2020 - 12:00,"""تراكم الديون"" يجلب متاعب صحية للمخرج المغربي محمد إسماعيل",https://www.hespress.com/art-et-culture/481893.html
481887,محجوب بنسعيد,art-et-culture,0,الأحد 23 غشت 2020 - 03:09,"عدد جديد من المجلة الشهرية ""الرابطة"" يرى النور",https://www.hespress.com/art-et-culture/481887.html
481952,ميمون أم العيد,art-et-culture,36,الاثنين 24 غشت 2020 - 02:11,"أحمد بادوج .. فنان أمازيغي انتصر على داء السل وغلبه ""كورونا""",https://www.hespress.com/art-et-culture/481952.html
482066,هسبريس من الرباط,art-et-culture,1,الثلاثاء 25 غشت 2020 - 01:30,"كتاب يعالج دور ""أجهزة المحاسبة"" في تنمية الدولة",https://www.hespress.com/art-et-culture/482066.html
482139,هسبريس من الرباط,art-et-culture,18,الاثنين 24 غشت 2020 - 23:41,نقابة مهنيي الفنون الدرامية تنعى ثريا جبران,https://www.hespress.com/art-et-culture/482139.html
481818,محمد بنعزيز,art-et-culture,25,الاثنين 24 غشت 2020 - 06:55,"""أمة الطفل الواحد"" .. الصين الدموية بين دعاية الدولة وتجربة الفرد",https://www.hespress.com/art-et-culture/481818.html
482118,هسبريس من الرباط,art-et-culture,152,الاثنين 24 غشت 2020 - 21:00,الفنانة المغربية ثريا جبران في ذمة الله عن 68 عاما,https://www.hespress.com/art-et-culture/482118.html
482070,هسبريس من الرباط,art-et-culture,8,الثلاثاء 25 غشت 2020 - 08:02,"""في زمن كورونا"" .. أغنية تستحضر سحر مراكش",https://www.hespress.com/art-et-culture/482070.html
481939,حاوره: علي بونوا *,art-et-culture,42,الثلاثاء 25 غشت 2020 - 05:00,سمير ديلغادو: مخيال جزر الكناري الجمعي يميل نحو الهوية العربية,https://www.hespress.com/art-et-culture/481939.html
482158,هسبريس - وائل بورشاشن,art-et-culture,5,الثلاثاء 25 غشت 2020 - 12:00,"تنظيمات فنية تطالب التلفزيون باحترام تعويضات ""حقوق إعادة البث""",https://www.hespress.com/art-et-culture/482158.html
482195,هسبريس من الرباط,art-et-culture,14,الثلاثاء 25 غشت 2020 - 15:40,الملك ينعي جبران: فنانة قديرة ذات خصال عالية,https://www.hespress.com/art-et-culture/482195.html
482198,هسبريس - وائل بورشاشن,art-et-culture,17,الثلاثاء 25 غشت 2020 - 21:00,سيدة المسرح المغربي ثريا جبران .. مسارات عديدة والفقيدة واحدة,https://www.hespress.com/art-et-culture/482198.html
482164,هسبريس من الرباط,art-et-culture,0,الأربعاء 26 غشت 2020 - 00:50,"غازي تكتب نصوص نساء على ""كرسي الاعتراف""",https://www.hespress.com/art-et-culture/482164.html
482209,هسبريس من الرباط,art-et-culture,5,الثلاثاء 25 غشت 2020 - 23:30,بيت الشعر في المغرب يعدد مناقب الفنانة ثريا جبران,https://www.hespress.com/art-et-culture/482209.html
482679,هسبريس من الرباط,economie,1,الاثنين 31 غشت 2020 - 06:10,"""بنك المغرب"" يضخ 112 مليار درهم في التسبيقات",https://www.hespress.com/economie/482679.html
482166,هسبريس من الرباط,art-et-culture,1,الأربعاء 26 غشت 2020 - 03:46,"""تجليات المكان الشعري"" تبحث في تجربة الرباوي",https://www.hespress.com/art-et-culture/482166.html
482733,هسبريس – محمد لديب,economie,13,الاثنين 31 غشت 2020 - 07:00,"""كوفيد-19"" يخفض واردات الشركات المغربية من اللعب الصينية",https://www.hespress.com/economie/482733.html
482678,هسبريس من الرباط,economie,4,الاثنين 31 غشت 2020 - 08:05,الدرهم المغربي يرتفع أمام اليورو ويتراجع بالدولار,https://www.hespress.com/economie/482678.html
482710,هسبريس - محمد لديب,economie,46,الاثنين 31 غشت 2020 - 10:00,هل يبطل مجلس المنافسة اتفاق شركات التأمين بشأن حوادث السير؟,https://www.hespress.com/economie/482710.html
482750,هسبريس - يوسف لخضر,economie,13,الاثنين 31 غشت 2020 - 13:00,كورونا يخفض الاستثمارات المغربية في الخارج بنسبة 41 في المائة,https://www.hespress.com/economie/482750.html
482812,هسبريس من الدار البيضاء,economie,17,الثلاثاء 01 شتنبر 2020 - 10:00,"البناء والسيارات أكبر القطاعات الخاسرة في ""بورصة"" الدار البيضاء",https://www.hespress.com/economie/482812.html
482756,هسبريس من الرباط,economie,50,الاثنين 31 غشت 2020 - 14:00,"أرباب المقاهي والمطاعم يستنجدون بالداخلية ضد ""تعسّفات المراقبة""",https://www.hespress.com/economie/482756.html
482821,هسبريس من الرباط,economie,34,الثلاثاء 01 شتنبر 2020 - 07:00,"ارتفاع أسعار الخضر والفواكه يُثقل كاهل المغاربة في ""زمن كورونا""",https://www.hespress.com/economie/482821.html
482853,هسبريس - أمال كنين,economie,24,الثلاثاء 01 شتنبر 2020 - 12:20,"""أوكسفام"" تربط رعاية الصحة بضريبة على الثروة",https://www.hespress.com/economie/482853.html
482881,هسبريس من الرباط,economie,15,الثلاثاء 01 شتنبر 2020 - 16:15,"""سَهام"" تتراجع عن رفع ""خلوص تأمين السيارات""",https://www.hespress.com/economie/482881.html
482780,هسبريس - يوسف لخضر ,economie,52,الثلاثاء 01 شتنبر 2020 - 13:00,"تداول ""الكاش"" يُفاقم العجز في السيولة النقدية لدى المؤسسات البنكية",https://www.hespress.com/economie/482780.html
