,article_id,author,writer,category,number_of_comments,timestamp,title,article_link
58,252758,محمد منفلوطي_ هبة بريس,ي.الضميري,مجتمع,0,2020-09-08 16:31:38+00:00,كورونا بسطات.. الفايسبوك ينوب عن مديرية الصحة في نشر الحصيلة,https://ar.hibapress.com/details-252758.html
59,252733,أحمد مصباح – الجديدة,ي.الضميري,مجتمع,0,2020-09-08 14:01:03+00:00,مشاكل “صحاب الطاكسيات” في طريقها للتسوية بجماعة مولاي عبد الله بإقليم الجديدة,https://ar.hibapress.com/details-252733.html
60,252781,خالد العروسي – هبة بريس,عبد الله عياش,مجتمع,0,2020-09-08 18:03:49+00:00,فاس…أصحاب القاعات الرياضية يحتجون على استمرار قرار الاغلاق,https://ar.hibapress.com/details-252781.html
61,252787, هبة بريس,عبد الله عياش,مجتمع,0,2020-09-08 18:22:28+00:00,اتفاق اسباني مغربي يشمل التعاون في مجال الأمن ومكافحة الجريمة,https://ar.hibapress.com/details-252787.html
62,252784,خالد لعروسي ـ هبة بريس,عبد الله عياش,مجتمع,0,2020-09-08 18:07:24+00:00,أمن فاس يوقف شخصا متورطا في هتك عرض طفل قاصر,https://ar.hibapress.com/details-252784.html
63,252804,اسماعيل بويعقوبي- هبة بريس,عبد الله عياش,مجتمع,0,2020-09-08 20:51:09+00:00,البام “يسائل وزير الصحة بخصوص ملابسات وفاة طفلة أمام مستوصف “أمتار”,https://ar.hibapress.com/details-252804.html
64,252769,هبة بريس – الرباط,reda lakbir,مجتمع,1,2020-09-08 17:21:38+00:00,خلال 24 ساعة ..تسجيل 33 حالة وفاة بفيروس كورونا,https://ar.hibapress.com/details-252769.html
65,252794,هبة بريس ـ الرباط,عبد الله عياش,مجتمع,0,2020-09-08 18:58:17+00:00,مطالب بتنزيل مرسوم الإشهاد على مطابقة نسخ الوثائق لأصولها,https://ar.hibapress.com/details-252794.html
66,252801,هبة بريس ـ الرباط,عبد الله عياش,مجتمع,0,2020-09-08 20:31:44+00:00,“بام ” الرباط يستنكر التعيينات بناء على معايير “الولاء والقرب”,https://ar.hibapress.com/details-252801.html
67,251623,هبة بريس – وكالات,ل.أبروك,بلا حدود,0,2020-09-02 13:54:57+00:00,تونس.. شكوى ضد “النهضة” لامتلاكه 4 قنوات تلفزة و”تبييض أموال في الإشهار”,https://ar.hibapress.com/details-251623.html
