,article_id,author,category,number_of_comments,timestamp,title,article_link
32,477232,هسبريس من الرباط,art-et-culture,5,2020-07-07 06:00:00,"""بيت ياسين"" يُعيد الشاعر العراقي فاضل العزاوي إلى منزله القديم",https://www.hespress.com/art-et-culture/477232.html
33,477067,هسبريس ـ مُتابعة,art-et-culture,53,2020-07-05 08:50:00,كورونا يسلب حياة الفنانة المصرية رجاء الجداوي,https://www.hespress.com/art-et-culture/477067.html
34,476915,هسبريس - وائل بورشاشن,art-et-culture,12,2020-07-06 04:00:00,"غياب دعم وزارة الثقافة يدفع فنّاني الشارع إلى ""الاحتجاج الرقمي""",https://www.hespress.com/art-et-culture/476915.html
35,477380,إبراهيم مغراوي من مراكش,art-et-culture,14,2020-07-07 22:07:00,"صحة عبد الجبار الوزير تتجاوز ""مرحلة الخطر""",https://www.hespress.com/art-et-culture/477380.html
36,477440,هسبريس - أمال كنين,marocains-du-monde,15,2020-07-09 00:06:00,نادية هاي مغربية تؤثث الحكومة الفرنسية الجديدة‎,https://www.hespress.com/marocains-du-monde/477440.html
37,477374,هسبريس من الرباط,art-et-culture,1,2020-07-08 07:02:00,"صلاح بوسريف يصدر ""بيانات في حداثة الكتابة""",https://www.hespress.com/art-et-culture/477374.html
38,477462,هسبريس من الرباط,marocains-du-monde,37,2020-07-09 08:00:00,"بنفضيل: هكذا يتجنب الطلبة المغاربة ""النصب في الدراسة"" بأوكرانيا",https://www.hespress.com/marocains-du-monde/477462.html
39,477841, حميد رزقي,marocains-du-monde,15,2020-07-12 13:50:00,"مغاربة ينتفضون ضد ""التمييز والإقصاء"" بمورسيا",https://www.hespress.com/marocains-du-monde/477841.html
40,477541,هسبريس من الرباط,marocains-du-monde,122,2020-07-10 06:00:00,"""مغاربة العالم"" يتنفسون الصعداء ويأملون شفافية تدبير التنقلات",https://www.hespress.com/marocains-du-monde/477541.html
41,477902,هسبريس من الرباط,marocains-du-monde,29,2020-07-13 22:45:00,مغربي في كندا ينشد حلولا أكثر يسرا لعودة العالقين,https://www.hespress.com/marocains-du-monde/477902.html
42,477589,هسبريس من الرباط,marocains-du-monde,180,2020-07-10 11:00:00,قطر تصدم مئات المغاربة في سلك الشرطة بقرار تخفيض الرواتب,https://www.hespress.com/marocains-du-monde/477589.html
43,477970,هسبريس - عبد السلام الشامخ,marocains-du-monde,28,2020-07-14 00:00:00,"مغاربة عالقون بسبتة ينشدون ""تدخّل الملك"" لتفادي ""رحلة العذاب""",https://www.hespress.com/marocains-du-monde/477970.html
44,477873,هسبريس من الدار البيضاء,marocains-du-monde,89,2020-07-12 21:00:00,"مهاجرون يستنكرون ""إقصاء"" دول إفريقية من الرحلات الاستثنائية‎",https://www.hespress.com/marocains-du-monde/477873.html
45,477843,هسبريس من الرباط,marocains-du-monde,188,2020-07-12 14:00:00,"طالبة مغربية عالقة تُواجه ""خطر الموت"" بسبب تدوينة حول قطر",https://www.hespress.com/marocains-du-monde/477843.html
46,477648,هسبريس - محمد الراجي,marocains-du-monde,250,2020-07-10 19:00:00,شروط العودة إلى الوطن تؤرق مغاربة عالقين وأفراد الجالية بالخارج,https://www.hespress.com/marocains-du-monde/477648.html
47,477926,هسبريس - محمد الراجي,marocains-du-monde,10,2020-07-14 08:05:00,غياب الرحلات يُبقي مئات المغاربة عالقين في رومانيا,https://www.hespress.com/marocains-du-monde/477926.html
48,478053,هسبريس ـ عبد الرحيم العسري,marocains-du-monde,45,2020-07-15 12:00:00,مغاربة في لبنان .. حياة مستحيلة وأسعار خيالية لتذاكر الرحلات,https://www.hespress.com/marocains-du-monde/478053.html
49,478209,حسن الركاز من هولندا,marocains-du-monde,42,2020-07-15 21:10:00,تكاليف السفر والفحص تؤرق المغاربة في أوروبا,https://www.hespress.com/marocains-du-monde/478209.html
50,478162,هسبريس - عبد السلام الشامخ,marocains-du-monde,39,2020-07-15 20:00:00,"مغاربة عالقون ينصبون الخيام ويواجهون ""السجن"" في إسطنبول",https://www.hespress.com/marocains-du-monde/478162.html
51,477944,هسبريس من الرباط,marocains-du-monde,143,2020-07-14 11:00:00,معدّل الرّحلات الجوية واختبارات كورونا وراء غضب الجالية المغربية‬,https://www.hespress.com/marocains-du-monde/477944.html
52,478513,هسبريس من الرباط,medias,22,2020-07-18 21:17:00,"جمعية ""إيزيك"" تتضامن مع الصحافي بلهايسي",https://www.hespress.com/medias/478513.html
53,477849,هسبريس - محمد الراجي,marocains-du-monde,202,2020-07-14 09:00:00,ارتفاع أسعار تذاكر الرحلات الجوية يكوي جيوب العائدين إلى المغرب,https://www.hespress.com/marocains-du-monde/477849.html
54,478691,هسبريس من الدارالبيضاء,medias,23,2020-07-20 17:50:00,القاضي يستمع للريسوني ساعات .. والصحافي يرفض الاتهامات,https://www.hespress.com/medias/478691.html
55,478609,هسبريس من الرباط,medias,10,2020-07-19 22:00:00,"رصيف الصحافة: ""كورونا"" على متن سفينة يستنفر سلطات طنجة",https://www.hespress.com/medias/478609.html
56,478717,هسبريس من الرباط,medias,5,2020-07-20 22:00:00,"رصيف الصحافة: مصابون بـ""كورونا"" يجتازون مباريات ""الداخلية""",https://www.hespress.com/medias/478717.html
57,478776,هسبريس من الرباط,medias,16,2020-07-21 16:11:00,"""نادي الصحافة"" يعلن تضامنه مع الإعلامي بلهيسي‎",https://www.hespress.com/medias/478776.html
58,478812,هسبريس - وائل بورشاشن ,medias,5,2020-07-22 01:02:00,"فدرالية حقوقية تنتقد ""المضايقات"" ضد الراضي",https://www.hespress.com/medias/478812.html
59,478825,هسبريس من الرباط,medias,29,2020-07-21 21:53:00,رصيف الصحافة: إحداث مناصب جديدة بالجهات تحت سلطة الولاة,https://www.hespress.com/medias/478825.html
60,478883,هسبريس من الرباط,medias,2,2020-07-23 01:30:00,"مجلة القوات المسلحة تَبْسط جهد مواجهة ""كورونا""",https://www.hespress.com/medias/478883.html
61,478858,هسبريس من الرباط,medias,77,2020-07-22 11:30:00,"""إدارة السجون"" تكذب تصريحات الصحافي المهداوي",https://www.hespress.com/medias/478858.html
62,478943,هسبريس من الرباط,medias,29,2020-07-22 22:00:00,رصيف الصحافة: منع شيّ رؤوس الأضاحي بشوارع وأزقة طنجة,https://www.hespress.com/medias/478943.html
63,479019,هسبريس - و.م .ع,medias,14,2020-07-23 18:25:00,وفاة الصفريوي أحد رواد تقديم نشرة الأخبار بالتلفزة,https://www.hespress.com/medias/479019.html
64,479036,هسبريس من الرباط,medias,20,2020-07-23 22:00:00,"رصيف الصحافة: احتجاز ""شهادة الباك"" يجر مدارس خاصة إلى القضاء",https://www.hespress.com/medias/479036.html
65,479152,هسبريس من الرباط,medias,63,2020-07-24 22:00:00,"رصيف الصحافة: ""هاديك المدينة اللِّي فالشمال"" تُغضب ""طنجاوة""",https://www.hespress.com/medias/479152.html
66,479098,هسبريس من الرباط,medias,11,2020-07-24 14:40:00,"""هيت راديو"" تطلق ""أنا المغرب وعندي الثقة فراسي""",https://www.hespress.com/medias/479098.html
67,479136,هسبريس من الرباط,medias,5,2020-07-25 02:20:00,هذه إشكاليات التغطيات الإعلامية لقضايا الاعتداء الجنسي بالمغرب,https://www.hespress.com/medias/479136.html
68,479168,هسبريس - وائل بورشاشن (صور: منير امحيمدات),medias,13,2020-07-25 12:00:00,"أكاديميون يثيرون شجون احترام أخلاقيات ""صاحبة الجلالة"" بالمغرب",https://www.hespress.com/medias/479168.html
69,482863,هسبريس من الرباط,economie,36,2020-09-02 12:00:00,"معاملات الفوسفاط المغربي تصمد أمام أضرار تفشي ""فيروس كورونا""",https://www.hespress.com/economie/482863.html
70,479454,هسبريس من الرباط,medias,31,2020-07-27 22:00:00,رصيف الصحافة: تضحيات شغيلة الصحة تستوجب صرف تحفيزات,https://www.hespress.com/medias/479454.html
71,479348,هسبريس من الرباط,medias,17,2020-07-26 22:00:00,"رصيف الصحافة: مراسلة تدعو إلى ""الإفراج"" عن شهادة الباكالوريا",https://www.hespress.com/medias/479348.html
72,483000,هسبريس من الدار البيضاء,economie,4,2020-09-02 18:08:00,"""إيكيا"" تطلق ""كتالوغ 2021"" وتكشف تخفيضات كبرى",https://www.hespress.com/economie/483000.html
73,482894,هسبريس من الرباط,economie,29,2020-09-02 14:00:00,كورونا والحجر الصحي يوقفان مُعاملات شركات المحروقات بالمغرب,https://www.hespress.com/economie/482894.html
74,479208,هسبريس من الرباط,medias,92,2020-07-25 22:00:00,"رصيف الصحافة: حكومة العثماني تقترب من تفعيل ""صندوق الزكاة""",https://www.hespress.com/medias/479208.html
75,482963,هسبريس من الرباط,economie,18,2020-09-03 09:25:00,"""الحَجْر"" ورمضان يُخفضان معاملات شركات الخمور",https://www.hespress.com/economie/482963.html
76,483034,هسبريس من الدار البيضاء,economie,12,2020-09-03 09:35:00,"""إنوي"" تطلق عروضا خاصة بالدخول المدرسي",https://www.hespress.com/economie/483034.html
77,483095,هسبريس من الرباط,economie,5,2020-09-03 16:05:00,قرض أوروبي يُمول مصنعاً للجبن بمدينة القنيطرة,https://www.hespress.com/economie/483095.html
78,483070,هسبريس ـ مُتابعة,economie,4,2020-09-03 19:48:00,ارتفاع أسعار الغذاء العالمية لثالث شهر على التوالي,https://www.hespress.com/economie/483070.html
79,483112,هسبريس - محمد لديب,economie,1,2020-09-04 14:25:00,الجائحة ترخي بظلال سلبية على صادرات المعادن,https://www.hespress.com/economie/483112.html
80,483147,هسبريس من الرباط,economie,28,2020-09-04 12:20:00,موريتانيا تعرض على المغرب فرصا واعدة للاستثمار,https://www.hespress.com/economie/483147.html
81,483059,هسبريس من الرباط,economie,15,2020-09-04 05:55:00,الجفاف يحدد سقف الإنتاج النهائي للحبوب في 32 مليون قنطار,https://www.hespress.com/economie/483059.html
82,483187,هسبريس - محمد لديب,economie,4,2020-09-04 20:22:00,أزمة كورونا تفاقم حجم القروض البنكية المعسرة,https://www.hespress.com/economie/483187.html
83,483227,هسبريس من الدار البيضاء,economie,1,2020-09-05 05:50:00,"""سامسونغ"" تستعرض مميزات الهاتف الجديد ""فولد 2""",https://www.hespress.com/economie/483227.html
84,483155,هسبريس من الرباط,economie,12,2020-09-05 00:40:00,مراجعة ضريبية مغربية تطالب شركة لتنقيب الغاز بـ14 مليون دولار,https://www.hespress.com/economie/483155.html
85,483177,هسبريس من الرباط,economie,3,2020-09-04 17:00:00,قمة عالمية افتراضية تناقش توظيف تقنيات الثورة الصناعية الرابعة,https://www.hespress.com/economie/483177.html
86,483209,هسبريس من الرباط,economie,13,2020-09-05 17:00:00,"الاستقرار والتراجع يسمان نتائج الأبناك المغربية خلال ""أزمة كورونا""",https://www.hespress.com/economie/483209.html
87,482937,هسبريس ـ محمد لديب,economie,30,2020-09-05 19:15:00,"""كورونا"" وركود العقار السكني يخفضان مبيعات مواد البناء بالمغرب",https://www.hespress.com/economie/482937.html
88,483334,هسبريس - د.ب.أ,economie,5,2020-09-07 00:00:00,"كيف يمكن للطيران استعادة ثقة الزبناء بعد انتهاء ""أزمة كورونا""؟‎",https://www.hespress.com/economie/483334.html
89,483347,هسبريس – محمد لديب,economie,0,2020-09-07 07:50:00,"أسهم ""الخدمات الرقمية"" تقلص خسائر البورصة",https://www.hespress.com/economie/483347.html
90,481728,هسبريس من الرباط,art-et-culture,4,2020-08-22 05:55:00,الشاب قادر يعود بأغانٍ جديدة في شتنبر المقبل‎,https://www.hespress.com/art-et-culture/481728.html
91,483273,هسبريس من الرباط,economie,23,2020-09-05 23:00:00,"هذه شروط استفادة شغيلة السياحة من التعويض عن ""بطالة كورونا""",https://www.hespress.com/economie/483273.html
92,481871,رشيد بيجيكن من أكادير,art-et-culture,43,2020-08-22 13:15:00,"""كوفيد-19"" يُنهي حياة الفنان أحمد بادوج في أكادير",https://www.hespress.com/art-et-culture/481871.html
93,481872,المصطفى الناصري من بيروت,art-et-culture,19,2020-08-22 18:00:00,فنانون لبنانيون يشيدون بالتفاتة الملك محمد السادس,https://www.hespress.com/art-et-culture/481872.html
94,481887,محجوب بنسعيد,art-et-culture,0,2020-08-23 03:09:00,"عدد جديد من المجلة الشهرية ""الرابطة"" يرى النور",https://www.hespress.com/art-et-culture/481887.html
95,481772,محمود الغيطاني*,art-et-culture,13,2020-08-23 02:35:00,"""هوت ماروك"" لياسين عدنان .. فيضان سردي و""صناعة الرأي العام""",https://www.hespress.com/art-et-culture/481772.html
96,481893,هسبريس - وائل بورشاشن,art-et-culture,45,2020-08-23 12:00:00,"""تراكم الديون"" يجلب متاعب صحية للمخرج المغربي محمد إسماعيل",https://www.hespress.com/art-et-culture/481893.html
97,481952,ميمون أم العيد,art-et-culture,36,2020-08-24 02:11:00,"أحمد بادوج .. فنان أمازيغي انتصر على داء السل وغلبه ""كورونا""",https://www.hespress.com/art-et-culture/481952.html
98,481818,محمد بنعزيز,art-et-culture,25,2020-08-24 06:55:00,"""أمة الطفل الواحد"" .. الصين الدموية بين دعاية الدولة وتجربة الفرد",https://www.hespress.com/art-et-culture/481818.html
99,482139,هسبريس من الرباط,art-et-culture,18,2020-08-24 23:41:00,نقابة مهنيي الفنون الدرامية تنعى ثريا جبران,https://www.hespress.com/art-et-culture/482139.html
100,482066,هسبريس من الرباط,art-et-culture,1,2020-08-25 01:30:00,"كتاب يعالج دور ""أجهزة المحاسبة"" في تنمية الدولة",https://www.hespress.com/art-et-culture/482066.html
101,481939,حاوره: علي بونوا *,art-et-culture,42,2020-08-25 05:00:00,سمير ديلغادو: مخيال جزر الكناري الجمعي يميل نحو الهوية العربية,https://www.hespress.com/art-et-culture/481939.html
102,482118,هسبريس من الرباط,art-et-culture,152,2020-08-24 21:00:00,الفنانة المغربية ثريا جبران في ذمة الله عن 68 عاما,https://www.hespress.com/art-et-culture/482118.html
103,482070,هسبريس من الرباط,art-et-culture,8,2020-08-25 08:02:00,"""في زمن كورونا"" .. أغنية تستحضر سحر مراكش",https://www.hespress.com/art-et-culture/482070.html
104,482158,هسبريس - وائل بورشاشن,art-et-culture,5,2020-08-25 12:00:00,"تنظيمات فنية تطالب التلفزيون باحترام تعويضات ""حقوق إعادة البث""",https://www.hespress.com/art-et-culture/482158.html
105,482195,هسبريس من الرباط,art-et-culture,14,2020-08-25 15:40:00,الملك ينعي جبران: فنانة قديرة ذات خصال عالية,https://www.hespress.com/art-et-culture/482195.html
106,482209,هسبريس من الرباط,art-et-culture,5,2020-08-25 23:30:00,بيت الشعر في المغرب يعدد مناقب الفنانة ثريا جبران,https://www.hespress.com/art-et-culture/482209.html
107,482164,هسبريس من الرباط,art-et-culture,0,2020-08-26 00:50:00,"غازي تكتب نصوص نساء على ""كرسي الاعتراف""",https://www.hespress.com/art-et-culture/482164.html
108,482198,هسبريس - وائل بورشاشن,art-et-culture,17,2020-08-25 21:00:00,سيدة المسرح المغربي ثريا جبران .. مسارات عديدة والفقيدة واحدة,https://www.hespress.com/art-et-culture/482198.html
109,482166,هسبريس من الرباط,art-et-culture,1,2020-08-26 03:46:00,"""تجليات المكان الشعري"" تبحث في تجربة الرباوي",https://www.hespress.com/art-et-culture/482166.html
110,483548,إبراهيم مغراوي من مراكش,faits-divers,2,2020-09-09 09:02:00,ابتدائية آسفي تؤجل ملف شبكة دولية للمخدرات,https://www.hespress.com/faits-divers/483548.html
111,483603,هسبريس من الرباط,faits-divers,15,2020-09-09 11:15:00,الشرطة القضائية تحقق مع أمنيين من أجل الارتشاء‎,https://www.hespress.com/faits-divers/483603.html
112,483605,هسبريس - محمد الراجي,faits-divers,31,2020-09-09 12:00:00,"حكم قضائي يؤجل سداد قرض بسبب الأضرار الناجمة عن ""كوفيد-19""",https://www.hespress.com/faits-divers/483605.html
113,483625,إبراهيم مغراوي من مراكش,faits-divers,24,2020-09-09 17:15:00,"محكمة الاستئناف بمراكش تؤجل ملف ""مون بيبي""",https://www.hespress.com/faits-divers/483625.html
114,483620,هسبريس من الرباط,faits-divers,2,2020-09-10 01:15:00,أجهزة للغش في الامتحانات تقود إلى توقيف شابين,https://www.hespress.com/faits-divers/483620.html
115,483627,عبد الكريم هرواش من النّاظور,faits-divers,5,2020-09-10 00:39:00,"فرار مصاب بـ""كورونا"" يخلق الحدث نواحي النّاظور",https://www.hespress.com/faits-divers/483627.html
116,483665,هسبريس من الرباط,faits-divers,19,2020-09-09 20:05:00,أمن الرباط يوقف متورطين في خرق إجراءات الطوارئ,https://www.hespress.com/faits-divers/483665.html
117,483626,هسبريس من القصر الكبير,faits-divers,21,2020-09-09 23:25:00,"""علبة ياغورت"" تنهي حياة تلميذ في القصر الكبير",https://www.hespress.com/faits-divers/483626.html
118,483683,إبراهيم مغراوي من مراكش,faits-divers,7,2020-09-10 04:24:00,حملة توقف عشرات الدراجات النارية نواحي مراكش,https://www.hespress.com/faits-divers/483683.html
119,483689,هسبريس ـ عبد الرحيم العسري (صور: محمد كومية),faits-divers,41,2020-09-10 08:13:00,عمليات أمنية متزامنة تفكك خلية إرهابية ناشطة في 3 مدن مغربية,https://www.hespress.com/faits-divers/483689.html
120,483705,رشيد الكويرتي من فاس,faits-divers,7,2020-09-10 14:17:00,جانح يعرض حياة مواطنين وأمنيين إلى المخاطر,https://www.hespress.com/faits-divers/483705.html
121,483711,محمد آيت حساين,faits-divers,6,2020-09-10 15:12:00,الدرك يحجز طنّا من مخدر الشيرا ضواحي ألنيف,https://www.hespress.com/faits-divers/483711.html
122,483706,هسبريس من الرباط,faits-divers,24,2020-09-10 13:17:00,إطلاق ثلاث رصاصات لتوقيف حامل سلاح في سلا‎,https://www.hespress.com/faits-divers/483706.html
123,483697,هسبريس ـ عبد الرحيم العسري (صور: محمد كومية),faits-divers,65,2020-09-10 10:00:00,الحرب على الإرهاب .. الأمن يحبط صناعة أحزمة ناسفة تهدّد المغاربة,https://www.hespress.com/faits-divers/483697.html
124,483716,إبراهيم مغراوي من مراكش,faits-divers,1,2020-09-10 16:15:00,"محاولة سرقة ""فيلا"" تجر 3 أشخاصٍ إلى المحاكمة",https://www.hespress.com/faits-divers/483716.html
125,483729,هسبريس - عبد الرحيم العسري (صور: محمد كومية) ,faits-divers,84,2020-09-10 16:00:00,"هذه تفاصيل تفكيك خلية إرهابية متطرفة وإنقاذ المغرب من ""حمام دم""",https://www.hespress.com/faits-divers/483729.html
126,483743,هسبريس من طنجة,faits-divers,4,2020-09-10 19:25:00,حجز طنين ونصف من الشيرا قرب القصر الصغير,https://www.hespress.com/faits-divers/483743.html
